år;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
51;12074;11995;11258;11737;11669;11649;11886;12593;12626;12628;12798;12946;13513;14101;14908;16377;16256;16272;16033;15485
52;12621;12048;11910;11212;11653;11605;11612;11847;12540;12626;12555;12787;12995;13514;14108;14883;16384;16242;16269;16015
53;13109;12496;11944;11790;11146;11573;11530;11572;11829;12489;12562;12534;12751;12983;13542;14079;14865;16361;16200;16241
54;13175;13015;12430;11828;11685;11062;11527;11477;11489;11834;12433;12548;12521;12738;12969;13499;14054;14847;16289;16100
55;13364;13048;12894;12308;11692;11601;10968;11436;11427;11472;11802;12389;12525;12492;12709;12949;13470;14048;14793;16239
56;13271;13246;12926;12762;12188;11561;11494;10880;11353;11390;11427;11740;12322;12523;12482;12636;12902;13399;14008;14714
57;12442;13139;13091;12799;12588;12045;11448;11407;10777;11306;11300;11370;11689;12297;12479;12436;12572;12819;13321;13939
58;11126;12277;12980;12934;12629;12480;11883;11329;11314;10706;11216;11225;11308;11648;12243;12405;12380;12501;12739;13227
59;9691;11005;12079;12795;12771;12451;12340;11742;11201;11250;10598;11138;11144;11251;11581;12212;12371;12254;12439;12661
60;8886;9551;10855;11896;12626;12589;12298;12220;11602;11112;11112;10510;11095;11083;11192;11475;12134;12292;12140;12320
61;8669;8741;9377;10676;11702;12400;12373;12130;12063;11461;10957;11019;10401;10991;10969;11053;11354;11983;12154;12020
62;8112;8502;8564;9171;10494;11498;12204;12170;11944;11893;11314;10817;10860;10264;10863;10840;10952;11207;11838;12005
63;7421;7972;8349;8384;8989;10330;11294;11975;11979;11774;11694;11189;10701;10745;10145;10698;10701;10797;11023;11690
64;7055;7267;7797;8195;8226;8804;10106;11073;11762;11848;11586;11532;11025;10557;10599;9991;10532;10569;10624;10876
65;6656;6875;7072;7564;7982;8053;8596;9885;10848;11557;11615;11392;11325;10859;10396;10436;9831;10367;10382;10450
66;6048;6495;6715;6898;7337;7813;7884;8427;9676;10668;11346;11411;11239;11161;10707;10228;10264;9695;10216;10194
67;5786;5899;6322;6536;6715;7156;7637;7710;8269;9506;10487;11165;11180;11061;10994;10507;10039;10097;9511;10039
68;5895;5635;5762;6142;6358;6522;7007;7443;7555;8112;9325;10266;10953;10976;10891;10769;10349;9876;9941;9343
69;5645;5722;5484;5582;5955;6199;6386;6869;7277;7426;7975;9153;10083;10776;10781;10648;10575;10144;9691;9741
70;5477;5494;5551;5325;5417;5796;6043;6243;6716;7126;7268;7810;8961;9899;10576;10585;10438;10389;9919;9502
71;5128;5299;5326;5385;5150;5256;5642;5854;6088;6595;6960;7104;7623;8784;9685;10356;10399;10229;10184;9739
72;5206;4943;5117;5170;5220;5009;5106;5491;5723;5919;6432;6781;6974;7441;8552;9473;10110;10187;9999;9960
73;4941;5026;4757;4913;5005;5033;4844;4968;5339;5568;5767;6281;6649;6820;7289;8352;9251;9879;9964;9787
74;4939;4775;4810;4560;4746;4814;4858;4712;4825;5184;5392;5619;6112;6478;6691;7096;8127;9020;9633;9746
75;4992;4732;4563;4614;4356;4555;4620;4684;4545;4663;5033;5242;5444;5957;6275;6488;6910;7900;8789;9382
76;4824;4795;4491;4332;4432;4182;4371;4443;4483;4388;4476;4878;5081;5248;5747;6084;6288;6694;7654;8529
77;4747;4579;4585;4248;4130;4228;3988;4176;4262;4307;4218;4265;4691;4911;5069;5582;5851;6111;6462;7436
78;4342;4476;4290;4327;4022;3934;4002;3790;3988;4092;4129;4055;4103;4510;4703;4875;5360;5633;5882;6254
79;4478;4103;4203;4067;4078;3788;3712;3800;3602;3807;3867;3919;3884;3937;4300;4488;4681;5127;5412;5644
80;4353;4163;3834;3952;3828;3814;3573;3491;3589;3402;3622;3671;3711;3721;3738;4100;4275;4462;4894;5155
81;3215;4052;3833;3545;3678;3564;3553;3332;3244;3391;3193;3424;3466;3509;3514;3534;3878;4066;4220;4641
82;2808;2951;3689;3511;3241;3398;3272;3288;3121;3033;3148;2983;3204;3242;3292;3304;3331;3660;3832;3974
83;2673;2538;2692;3357;3209;2966;3122;3029;3035;2899;2808;2898;2776;2982;3027;3049;3095;3115;3425;3614
84;2272;2406;2291;2417;3018;2906;2672;2827;2773;2769;2648;2537;2668;2573;2737;2780;2805;2839;2862;3198
85;1924;2039;2142;2032;2163;2689;2606;2404;2567;2510;2502;2386;2313;2419;2332;2453;2551;2580;2608;2632
86;1676;1701;1790;1907;1823;1924;2361;2327;2124;2294;2220;2256;2146;2102;2168;2086;2217;2319;2311;2359
87;1360;1460;1465;1541;1661;1562;1697;2050;2034;1862;2026;1940;1974;1915;1868;1929;1854;1964;2073;2055
88;1177;1143;1234;1251;1322;1411;1335;1467;1756;1775;1623;1766;1690;1751;1693;1618;1701;1616;1723;1826
89;937;981;930;1015;1020;1088;1191;1129;1238;1489;1505;1386;1509;1466;1539;1455;1435;1456;1397;1485
90;695;777;812;780;834;840;882;993;945;1025;1232;1260;1140;1251;1238;1304;1219;1207;1215;1203
91;542;544;621;656;640;664;679;716;820;780;844;1001;1031;944;1021;1031;1069;992;989;1021
92;385;420;417;465;511;501;524;518;553;666;624;673;823;833;782;827;834;856;807;831
93;290;300;310;322;373;387;400;392;399;417;503;495;513;644;649;601;650;664;676;618
94;187;203;206;241;235;276;291;288;285;293;321;368;367;403;489;490;462;506;493;525
95;137;141;155;146;176;163;206;208;200;212;211;245;256;252;319;356;361;331;384;366
96;79;95;91;99;98;122;122;137;140;136;147;133;169;186;175;229;253;262;225;271
97;47;49;65;59;77;65;85;91;91;100;97;107;88;118;132;117;150;180;170;157
98;38;33;30;44;46;56;51;53;64;61;69;65;75;58;71;86;79;97;117;109
